({6}, 6)
         7009750 function calls (6966678 primitive calls) in 4.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 enum.py:833(__and__)
      344    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       72    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 getlimits.py:366(__new__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2249(any)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:70(_wrapreduction)
      115    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
     1200    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:399(_init)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      289    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
        1    0.000    0.000    0.000    0.000 linalg.py:477(inv)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      212    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:235(__init__)
      346    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      470    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       78    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       54    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       10    0.000    0.000    0.000    0.000 extras.py:239(getdoc)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
        6    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       12    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x1148800d0}
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
      304    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8094(__init__)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
      378    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:53(_any)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
      201    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(polyval)
        8    0.000    0.000    0.000    0.000 core.py:8099(getdoc)
       46    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       41    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       31    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        1    0.000    0.000    0.000    0.000 common.py:1(<module>)
    27/20    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:283(__call__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
      136    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      153    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 utils.py:74(__call__)
        1    0.000    0.000    0.000    0.000 pimc.py:59(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:540(__init__)
      202    0.000    0.000    0.000    0.000 {built-in method math.log}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       21    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:608(update)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
        6    0.000    0.000    0.000    0.000 core.py:1147(__init__)
       21    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
